A12_grad_r,B12_grad_r,dx,A12,B12
814.0993551289712,624.9863812678757,2.0,440.23630036400135,342.69597312742593
192.8051767225029,577.9039766872393,6.0,99.88278050703973,312.22864841769484
-90.1313639413155,464.8863642302498,10.0,-51.91010729693185,249.09260289686227
-250.04497912204044,313.32992920329025,14.0,-136.76624157053507,166.27856763322396
-322.9832818921092,146.16277838833912,18.0,-174.66549067853614,75.83961355145884
-323.8070902584021,-13.629245207793105,22.0,-173.8670184429724,-10.018561068093938
-267.1268887191836,-145.50079664780344,26.0,-142.39340013492,-80.40528196380939
-170.96209018755178,-234.14735413063312,30.0,-90.03225079436753,-127.2497567236694
-55.934588036963035,-271.491899942704,34.0,-27.922997301053613,-146.36799891779106
57.05120013604163,-257.49437896499205,38.0,32.68977705391725,-137.9024281498186
149.50046539275945,-199.74546605882858,42.0,81.9159766097884,-106.09167653782761
207.7705725994253,-111.95366802467552,46.0,112.53335521296655,-58.42637457548089
224.81783351838249,-11.536220043995897,50.0,120.90210699760013,-4.326142192173954
200.90664872952937,83.32940211758375,54.0,107.31019665729313,46.45019737144169
143.11995507033345,156.68859559734256,58.0,75.68394897525816,85.39257309432983
63.77074208045124,197.29052579320188,62.0,32.72328260138875,106.55416084656756
-21.955399059543694,200.15818784374,66.0,-13.37071886402044,107.38140763989513
-98.68852008887589,167.0505629771696,70.0,-54.34726457570985,88.9475823199704
-153.4560688174741,105.81208854261263,74.0,-83.29540440382932,55.58080083465563
-177.76506540563315,28.751214063889755,78.0,-95.75138058941563,13.968555279924447
-168.85727381534417,-49.67527807064474,82.0,-90.34944738169438,-28.09997688152523
-129.93076754924073,-115.46670180318313,86.0,-68.91661934344009,-63.13107154899847
-69.31227034544702,-157.49855744362605,90.0,-36.011591026060785,-85.21542242888404
1.2269274277752418,-169.33179787766028,94.0,1.9897305189461074,-90.98764899928773
68.67098381037283,-150.1297332903281,98.0,38.08354898783631,-80.10540505180609
121.07880026862256,-104.57704393626418,102.0,65.88797274395887,-55.187881249066535
149.63582306619975,-41.854184761957825,106.0,80.73981095423434,-21.24413404721476
150.10026445114784,26.139057921954965,110.0,80.4553645262999,15.296587032435635
123.39981611300442,86.9896315096224,114.0,65.63049601195553,47.77382185817606
75.28711043574364,129.99998559515916,118.0,39.438441205567635,70.48728308593412
15.146400158538412,148.0324150640878,122.0,6.977225596774562,79.67757046520974
-45.79844444397419,138.65483063034168,126.0,-25.701087716954603,74.12981906628796
-96.53583405162647,104.41991786856212,130.0,-52.697463175105256,55.30853338781146
-128.2186115979211,52.26179848584658,134.0,-69.31249097108943,27.01551168745676
-135.68386784131621,-7.865615544219629,138.0,-72.85160165158463,-5.357117875665626
-118.2787719724931,-64.85776098206995,142.0,-63.05166604965558,-35.83812237213759
-79.85302411047985,-108.48953526308503,146.0,-42.06042938590086,-58.96564742688109
-27.93892610912743,-131.22992141142169,150.0,-13.983644845254119,-70.75436990902578
27.70467764132931,-129.5182594323985,154.0,15.905843982567562,-69.37081077843463
76.90181616739733,-104.29542204863395,158.0,42.1456468321528,-55.4056154253069
110.89505006577147,-60.7218977337175,162.0,60.07004893814905,-31.706290807819347
123.8873653007235,-7.150404419543294,166.0,66.63062940950954,-2.8102430253784956
114.02134505940802,46.454635995229026,170.0,60.9082528301769,25.913352184065662
83.62483736760245,90.35735002383723,174.0,44.22960531357092,49.252975032659265
38.69101276198553,116.80717501510975,178.0,19.875110118254533,63.093096493265186
-12.291659534238747,121.39220510728987,182.0,-7.558905686537435,65.13240283312474
-59.92811366397147,103.75791679587826,186.0,-33.019830817848884,55.25846167042091
-95.63054512158297,67.58303994594093,190.0,-51.92114890124243,35.52068971925759
-113.15341865679719,19.833218436886696,194.0,-60.9620742696681,9.71504477769721
-109.67936875997981,-30.564991317439976,198.0,-58.6995340599932,-17.338556703873383
