A12_grad_r,B12_grad_r,dx,A12,B12
975.4232512541698,622.406950440409,1.5,529.1391381481703,342.76132433344776
814.0993551289712,624.9863812678757,2.0,440.23630036400135,342.69597312742593
688.8181093866876,624.6340533516191,2.5,370.730783753639,341.44415250689593
585.8852625733225,622.196210271632,3.0,313.88494250065673,339.2795906693785
498.52062208688676,618.05295915182,3.5,265.91874306662476,336.3328324048005
422.7346533576622,612.4393068484901,4.0,224.51653895969645,332.6929173537996
355.8748854865562,605.515371284469,4.5,188.13518579106204,328.42122124907905
296.0930132916925,597.3954808495928,5.0,155.70794305532357,323.56329343960954
242.06186795549525,588.1677503367157,5.5,126.47527305807318,318.15552046566347
192.8051767225029,577.9039766872393,6.0,99.88278050703973,312.22864841769484
147.5906013721119,566.6655012171898,6.5,75.517329493886,305.8098936379947
105.85968071112993,554.5068602903802,7.0,53.065578036285494,298.9242623039549
67.18049339109888,541.4781452335449,7.5,32.28624063735614,291.5954021796184
31.214849296939562,527.6265705838578,8.0,12.991046678249798,283.8461650920222
-2.304949467063481,512.9975380834287,8.5,-4.968632000622724,275.6989839402645
-33.59288741234833,497.6353678722371,9.0,-21.711363714765373,267.1761270038022
-62.821559442884876,481.58380414858755,9.5,-37.33264912290468,258.2998688197542
-90.1313639413155,464.8863642302498,10.0,-51.91010729693185,249.09260289686227
-115.63745694151825,447.5865760088319,10.5,-65.50737913090576,239.57691307471913
-139.43508182329907,429.72813453516153,11.0,-78.17710563108085,229.775614705209
-161.60370135144746,411.3549990829315,11.5,-89.96322782993322,219.71177362360896
-182.21023631156538,392.5114451164709,12.0,-100.90278305581572,209.40870834574585
-201.31162887804987,373.2420822232448,12.5,-111.02732209464821,198.8899794907633
-218.95688976386805,353.5918456344798,13.0,-120.36403762962992,188.1793693356282
-235.18874632530697,333.60596700965993,13.5,-128.93667028877834,177.30085367413776
-250.04497912204044,313.32992920329025,14.0,-136.76624157053507,166.27856763322396
-263.5595126786783,292.80940816189195,14.5,-143.87165062898825,155.1367667279275
-275.76331052836065,272.0902044554666,15.0,-150.2701629735561,143.89978416753277
-286.68511318317815,251.2181670478708,15.5,-155.9778125544926,132.5919852284004
-296.35204837247034,230.23911038124874,16.0,-161.0097338365449,121.23771936348828
-304.7901374307146,209.19872705534902,16.5,-165.38043677656148,109.86127060844836
-312.0247154625391,188.1424963419621,17.0,-169.104034872849,98.48680676168912
-318.08078034675384,167.11559036207996,17.5,-172.1944343203974,87.13832775112624
-322.9832818921092,146.16277838833912,18.0,-174.66549067853614,75.83961355145884
-326.7573606676533,125.3283302025107,18.5,-176.53113825099507,64.61417196428057
-329.4285438249609,104.655919287476,19.0,-177.80549621953546,53.485186581959965
-331.022904526259,84.18852624509097,19.5,-178.50295513241662,42.47546514832727
-331.5671898506496,63.9683433529558,20.0,-178.63824641594508,31.60738858982672
-331.088921045712,44.03668043986403,20.5,-178.22649708071071,20.902860960139513
